5496	Ashkenazy	115
119	asi	64719
5439	Asiat	172
2738	Asie	3386
3476	asijský	2243
5427	asimilace	184
4552	asistence	1059
5508	asistenční	103
2727	asistent	3406
5033	asistentka	578
5078	asistovat	533
5463	asketický	148
5458	askeze	153
5499	Aslan	112
2230	asociace	4595
5016	asociační	595
5488	asociální	123
2874	aspekt	3156
5382	aspirace	229
5433	aspirant	178
5342	aspirin	269
5389	aspirovat	222
1253	aspoň	9058
5410	Association	201
5435	Asterix	176
5463	asteroid	148
5363	astma	248
5461	Aston	150
5404	astra	207
5352	Astra	259
5486	astrální	125
5504	Astrid	107
5345	astrolog	266
5490	astrologický	121
5293	astrologie	318
5386	astronaut	225
5134	astronom	477
5032	astronomický	579
5376	astronomie	235
5492	Asuán	119
5465	asymetrický	146
5504	asymetrie	107
5476	asynchronní	135
5214	Aš	397
5357	at	254
5332	AT	279
542	ať	18987
5387	atak	224
5493	atakdále	118
5424	atakovat	187
5450	atašé	161
1347	atd	8392
5447	ateismus	164
5402	ateista	209
5496	ateistický	115
3203	ateliér	2610
5221	Aténa	390
3564	atentát	2129
5412	atentátník	199
4679	Atény	932
5438	ateroskleróza	173
5452	atest	159
5440	atestace	171
5299	Athéna	312
3809	Atlanta	1846
5269	atlantický	342
4395	Atlantik	1218
5171	Atlantis	440
5354	atlantský	257
5065	atlas	546
5448	Atlas	163
4197	atlet	1424
3843	atletický	1804
4388	atletika	1225
5504	Atlétiko	107
5213	atletka	398
5479	ATM	132
1535	atmosféra	7235
5154	atmosférický	457
5455	atol	156
4424	atom	1188
5494	atomizace	117
5509	atomizátoru	102
3937	atomový	1701
5042	atp	569
4548	ATP	1063
4465	atrakce	1147
5229	atraktivita	382
2955	atraktivní	3012
5457	atraktivnost	154
5493	atrapa	118
4658	atribut	953
5181	atrium	430
5340	ATS	271
5500	Attack	111
5302	atypický	309
5343	au	268
5003	Audi	608
5380	audience	231
5350	audio	261
5143	audiovizuální	468
4584	audit	1027
5036	auditor	575
5510	auditorium	101
5365	auditorský	246
5490	auditovaný	121
5455	Audrey	156
5493	august	118
5481	August	130
5298	Augusta	313
5151	Augustin	460
5427	Augusto	184
5299	Augustus	312
3447	aukce	2277
5065	aukční	546
5363	aula	248
5462	aura	149
5482	Auriol	129
5440	Aurora	171
5478	Aurum	133
5467	AUS	144
5498	Ausbuher	113
5472	Austin	139
4908	Australan	703
5489	Australanka	122
5216	Australian	395
3022	Austrálie	2885
3863	australský	1780
5252	Austria	359
5360	aut	251
5472	auťák	139
5257	autenticita	354
5510	autenticky	101
4304	autentický	1311
5381	autentičnost	230
5433	autíčko	178
507	auto	19838
5508	autobaterie	103
5425	autobazar	186
5278	autobiografický	333
5405	autobiografie	206
1585	autobus	7042
3921	autobusový	1717
5445	autodopravce	166
5473	autodrom	138
5386	autogram	225
5191	autogramiáda	420
5489	autohavárie	122
5507	autokemp	104
5437	autoklub	174
5492	autokros	119
3333	automat	2427
3173	automaticky	2664
3657	automatický	2023
5484	automatika	127
5256	automatizace	355
5457	automatizační	154
5216	automatizovaný	395
5427	automechanik	184
1154	automobil	9793
5471	automobilismus	140
